z,v
248352,90000
136095,134900
67414,59000
88353,72000
95341,99900
143425,25000
85759,97500
124442,125000
114109,125000
124446,115900
168250,25500
167981,177000
119106,139000
80472,109900
81493,85000
NaN,18500
78952,89250
88649,89500
NaN,14000
179922,189900
85979,85000
NaN,169000
76738,80000
61550,70000
138764,114900
NaN,235000
NaN,1400000
122982,129900
285762,305000
124573,129200
225000,475000
NaN,399000
145442,142500
389870,439900
119012,115000
120234,147900
200094,259900
226175,26500
192216,28000
168759,15900
315535,333000
74132,15500
53583,22000
56700,59900
63947,62500
266152,215000
225037,224800
79828,39900
52771,59900
NaN,6100
147734,160000
76925,76000
187417,178000
157476,145000
290412,225990
48674,65000
110460,128500
165264,186900
144748,142500
84132,88900
158931,149900
NaN,44900
54226,51775
NaN,39000
73949,74000
93490,110000
134020,199000
113419,99900
124109,127900
213899,219000
298819,325000
88238,98900
163454,156000
NaN,445000
254541,279900
221615,199900
162706,174900
NaN,1399000
NaN,12500
170234,169900
118310,119900
73989,79900
NaN,1099000
76207,79600
76141,64900
NaN,15000
NaN,849000
NaN,219900
199355,219000
55918,84900
243547,269900
90791,135000
98364,93900
123312,129900
NaN,1169000
NaN,379000
NaN,16900
81982,84900
63757,63900
472100,510000
NaN,49900
66485,88950
102344,94900
174745,300000
134084,164900
692491,699000
377448,419900
191222,192500
106161,132000
305894,299000
72958,77000
NaN,1199000
112782,109900
219031,220000
344340,350000
71168,74900
376627,549900
156822,168000
75453,79500
295637,300000
NaN,75000
NaN,35000
97545,134900
428849,450000
77048,75000
NaN,24900
NaN,24900
579372,574900
308396,284900
150951,169000
82312,79900
67697,83000
NaN,149900
NaN,250000
487816,495000
79119,89900
77969,94500
NaN,199000
261287,379900
725598,1350000
471252,499000
85397,99500
NaN,199900
NaN,140000
NaN,79000
122514,139000
143163,149900
682744,629000
NaN,125000
342709,599000
1168382,1327000
226576,229000
856802,895000
517391,501999
