z,v
148800,164500
NaN,159900
NaN,285000
162968,178000
74402,94900
46515,109900
228794,230000
NaN,19990
92406,78500
125194,144500
72477,99900
149282,160000
157819,174900
97725,109900
142472,139900
131129,150000
NaN,79900
NaN,15000
89213,80700
144596,180000
75150,85000
71173,75000
59283,85000
144984,149500
75345,119900
79098,99900
NaN,29900
105818,154900
124599,134900
135948,145000
129464,144900
244937,144600
190325,187900
NaN,170000
213331,225000
141146,145000
148018,174900
127602,129000
143683,154900
112342,99900
126049,129500
186234,199000
145664,149900
106867,109900
129878,145000
107041,148000
112266,118900
100633,56000
NaN,20900
168297,155000
53091,89900
NaN,28900
NaN,322000
261603,290000
104016,83740
184353,189900
82638,92000
182324,199900
188097,215000
130843,139900
119564,108000
191153,200000
76859,79900
190765,208000
120632,120000
358056,409000
220943,229000
130273,134900
161477,164900
183601,193900
348513,365000
128005,75000
87080,87000
NaN,110000
166302,179900
164339,159900
125497,129900
57793,85999
93125,98000
148733,154900
214168,275000
194088,189900
89536,89990
245708,250000
NaN,29900
145465,149000
113873,99900
76632,77500
115221,125000
158226,166900
137424,164900
NaN,119900
126365,119900
100408,127900
186433,189500
132323,130000
253604,209900
134520,120900
136116,149900
105920,109999
254571,269900
438995,410000
111259,109900
199473,198000
155113,174900
103414,95000
130571,130000
130532,165000
166119,169000
195798,199900
224988,238000
193579,195900
54621,60000
156432,179900
183039,189900
NaN,51000
176060,179900
