z,v
714031,725000
508263,519000
204857,249900
612672,749000
1071629,1100000
303863,320000
320959,334900
190780,671447
1718442,2199999
412841,399900
NaN,449900
315726,302000
523241,549500
381983,330000
260689,274900
281584,356900
205011,225000
115214,113000
84364,89900
271274,265000
326293,309000
195381,189900
507242,475000
247875,278000
301755,305000
259727,260000
427514,378800
156931,163500
249993,249900
234949,248000
157186,159900
93214,99900
131957,133000
269434,288000
326470,337000
99677,96899
190595,235000
939003,775000
267787,349000
285953,274900
695380,650000
NaN,89000
331514,335000
320408,344000
833700,839988
339590,350000
868218,949000
583639,600000
477506,484000
1030954,999000
1105466,900000
1130995,1149000
1683637,1850000
129164,149786
1134870,1135000
462888,374900
154019,159000
339219,235000
206295,170000
519685,559500
298439,233786
391162,324900
296925,300000
203894,209900
214823,219900
203383,204900
272057,280000
422124,400000
104976,114900
808664,500786
161948,159900
602740,449900
465256,429000
145438,150786
520492,449000
293444,279000
296070,259000
130070,134900
255035,254000
234300,235000
269752,274900
193979,214000
230401,244900
127878,143786
155085,160000
729498,500786
353867,375000
233406,235000
283437,284000
256709,250000
143429,144786
223112,219900
115358,125000
343078,482990
380396,400000
366988,385000
272539,279000
208634,198900
444052,449900
639867,650571
881589,799000
695356,539900
882782,899000
131835,164786
164833,213000
264449,250000
389653,525000
425571,429900
321198,330000
522346,529900
674639,670000
406321,399900
402204,417500
311370,309995
213450,225000
377167,387500
211965,215000
314507,300000
204891,229000
402184,399900
344111,399900
404550,399900
322975,349950
260472,272500
243866,259900
916642,1375731
350346,339900
408857,389000
483114,500000
1279728,1299999
420276,429800
779328,1044839
425738,485000
1025631,845000
NaN,330000
529199,529000
427423,434900
481011,474900
632167,659900
340850,364900
325122,319900
263422,284000
291391,295000
326272,325000
NaN,400000
134524,199000
283451,289000
340234,392990
NaN,789000
429873,430000
312648,314900
598324,554999
204748,299900
312056,329900
NaN,229900
NaN,449900
430898,435000
444050,434900
504784,525000
860326,849900
487232,459000
386569,368900
606283,614900
516248,629900
696147,699000
524216,514990
304878,310000
1039164,999000
609808,609900
675061,648500
295945,314900
1026980,1095000
524517,539900
747572,709900
552019,534900
839588,825000
2049156,2800000
483064,489900
680302,699900
446403,474900
495455,529000
489229,499900
610391,619900
889943,949000
1109856,1074000
